Resource,Utilization,Available,Utilization %
LUT,108786,117120,92.88
FF,110303,234240,47.09
BRAM,86.50,144,60.07
URAM,8,64,12.50
DSP,324,1248,25.96

Name,CLB LUTs (117120),CLB Registers (234240),CARRY8 (14640),F7 Muxes (58560),F8 Muxes (29280),Block RAM Tile (144),URAM (64),DSPs (1248),BUFG_PS (96),PS8 (1)
design_1_wrapper,108786,110303,1535,6991,422,86.5,8,324,2,1
design_1_i (design_1),108786,110303,1535,6991,422,86.5,8,324,2,1
axi_smc,791,849,5,3,0,0,0,0,0,0
smartconnect_0,3325,6028,0,0,0,0,0,0,0,0
smartconnect_1,399,554,0,0,0,0,0,0,0,0
smartconnect_3,399,554,0,0,0,0,0,0,0,0
swiglu_0,103589,102278,1530,6988,422,86.5,8,324,0,0
U0,103589,102278,1530,6988,422,86.5,8,324,0,0
compute_gate_U0,3668,5181,208,85,32,4,0,22,0,0
compute_output_U0,60518,54590,553,4140,2,2,0,158,0,0
compute_X1_U0,15248,16571,224,1166,194,32,0,72,0,0
compute_X2_U0,15251,16568,224,1166,194,32,0,72,0,0
CTRL_s_axi_U,411,438,0,0,0,0,0,0,0,0
gate_scale_U,24,70,0,0,0,0,0,0,0,0
gmem_out_m_axi_U,1003,1085,41,94,0,0.5,0,0,0,0
gmem_V_m_axi_U,921,1018,32,92,0,2,0,0,0,0
gmem_W_m_axi_U,924,1018,32,92,0,2,0,0,0,0
gmem_Wd_m_axi_U,858,943,24,92,0,2,0,0,0,0
gmem_x_m_axi_U,737,901,28,61,0,2,0,0,0,0
load_x_local_U0,84,223,0,0,0,0,0,0,0,0
zynq_ultra_ps_e_0,264,0,0,0,0,0,0,0,2,1
